DEPTH,EPOCHS,LEARNING_RATE,BATCH_SIZE,Train Accuracy,Train Loss,Validation Accuracy,Validation Loss,Validation Precision,Validation Recall,Validation F1 Score
50,40,0.0001,32,0.999758184,0.000945447,0.987536967,0.050305735,0.987617043,0.987536991,0.987535303
50,40,0.0001,64,0.999985754,0.00025222,0.98827678,0.041064788,0.988323145,0.988276804,0.98827603
50,40,0.0001,128,1,0.000298389,0.988788962,0.03722956,0.988837428,0.988788982,0.988792194
50,40,0.0001,256,1,0.001141313,0.98804915,0.034439497,0.988081924,0.988049169,0.988039215
50,40,1.00E-07,16,0.832975328,0.930339932,0.828647852,0.936253905,0.826017621,0.828647849,0.825949764
50,40,1.00E-07,32,0.764079928,1.404013276,0.759105384,1.400910735,0.754779872,0.759105395,0.752233815
50,40,1.00E-07,64,0.620741189,2.048635483,0.621329367,2.037870407,0.621429523,0.621329388,0.607449697
50,40,1.00E-07,128,0.450601041,2.555212498,0.451058507,2.550813198,0.428390821,0.451058502,0.426628832
50,40,1.00E-07,256,0.197282881,3.119817257,0.203562483,3.109159708,0.210796838,0.203562486,0.185372144
50,50,0.1,16,0.0261185,3.674328804,0.028340543,3.674635887,0.027262609,0.028340542,0.001669666
50,50,0.1,32,0.04502454,3.584360361,0.043364443,3.585419178,0.051621629,0.043364443,0.022376989
50,50,0.1,64,0.053005192,3.535542488,0.054234009,3.538688421,0.027306783,0.054234009,0.027639494
50,50,0.1,128,0.051625293,3.583304167,0.05104712,3.540839434,0.040790247,0.05104712,0.026667956
50,50,0.1,256,0.026915144,3.64520669,0.028738903,3.645858288,0.027285304,0.028738903,0.001713189
50,50,0.001,16,0.997226,0.023331689,0.984350085,0.256570876,0.984579828,0.984350102,0.984310735
50,50,0.001,32,0.99699837,0.018479438,0.984976113,0.231314212,0.985253881,0.984976098,0.984972786
50,50,0.001,64,0.997794986,0.011711738,0.984350085,0.184742212,0.98466566,0.984350102,0.984345105
50,50,0.001,128,0.997866154,0.009592958,0.982642829,0.145687178,0.982989148,0.982642841,0.982649655
50,50,0.001,256,1,4.28E-06,0.990780771,0.043368168,0.990808061,0.990780788,0.990776776
50,50,0.0001,16,0.9994452,0.002066186,0.988219917,0.060989238,0.988258671,0.988219895,0.988223987
50,50,0.0001,32,0.999359846,0.00304409,0.985089898,0.069824502,0.985237564,0.985089916,0.985020507
50,50,0.0001,64,1,0.000141737,0.988845885,0.044321716,0.988878886,0.988845891,0.988847321
50,50,0.0001,128,1,0.000125329,0.989130437,0.037539113,0.989186342,0.989130435,0.989139904
50,50,0.0001,256,1,0.000436165,0.988390625,0.035156719,0.988454803,0.988390621,0.988397009
50,50,1.00E-07,16,0.86808449,0.734689474,0.864841819,0.742982805,0.863213824,0.864841794,0.86285963
50,50,1.00E-07,32,0.80950278,1.094004631,0.807762325,1.100596786,0.80433583,0.807762349,0.802540518
50,50,1.00E-07,64,0.726310551,1.617148519,0.725756884,1.618310809,0.720034739,0.725756886,0.717580975
50,50,1.00E-07,128,0.520307302,2.300973892,0.518096983,2.297024965,0.517563613,0.518096972,0.501041998
50,50,1.00E-07,256,0.242606163,3.018460035,0.246699288,3.013040781,0.25164535,0.246699294,0.228939258
101,10,0.1,16,0.026516821,3.672984123,0.025950376,3.667767763,0.000673422,0.025950376,0.001312777
101,10,0.1,32,0.026915144,3.662494898,0.028795812,3.671426535,0.027285304,0.028795812,0.001826275
101,10,0.1,64,0.051867131,3.546452999,0.043307535,3.606918812,0.053225236,0.043307535,0.020812748
101,10,0.1,128,0.037755176,3.613741636,0.028681993,3.647315025,0.026124754,0.028681994,0.00234108
101,10,0.1,256,0.053716481,3.523723841,0.055884361,3.517053127,0.055688075,0.055884361,0.030153074
101,10,0.001,16,0.988946557,0.045913853,0.976724327,0.142802805,0.977504157,0.976724334,0.976648016
101,10,0.001,32,0.98978591,0.035761077,0.978260875,0.107763171,0.97881164,0.97826087,0.978215307
101,10,0.001,64,0.99056834,0.029015234,0.975927591,0.112067766,0.976737009,0.975927612,0.975768025
101,10,0.001,128,0.992417693,0.023191079,0.978545427,0.075736217,0.979434111,0.978488504,0.978442988
101,10,0.001,256,0.995490432,0.013706588,0.982529044,0.058939766,0.982789413,0.982472115,0.98246183
101,10,0.0001,16,0.997595847,0.00876491,0.981846094,0.058708172,0.982673029,0.981846119,0.981937406
